block,first_page,last_page,offset,ff,ff_pct,zero,zero_pct,unique,entropy,dominant,dominant_count,dominant_pct,mixed_ff00_pct,all_ff,all_zero,abnormal_pages,erased_pages,zero_pages,abnormal,reasons
0,0,63,0,1141,0.870513916015625,36003,27.468109130859375,256,6.523078263953657,0,36003,27.468109130859375,28.338623046875,False,False,63,0,7,True,MANY_ABNORMAL_PAGES
1,64,127,131072,0,0.0,131072,100.0,1,0.0,0,131072,100.0,100.0,False,True,64,0,64,True,ALL_ZERO;STRONG_FF00_PATTERN
2,128,191,262144,119632,91.27197265625,45,0.034332275390625,256,1.1235711981469076,255,119632,91.27197265625,91.30630493164062,False,False,64,58,0,True,MANY_ABNORMAL_PAGES;MOSTLY_ERASED
3,192,255,393216,0,0.0,131072,100.0,1,0.0,0,131072,100.0,100.0,False,True,64,0,64,True,ALL_ZERO;STRONG_FF00_PATTERN
4,256,319,524288,530,0.40435791015625,768,0.5859375,256,7.998127150828902,0,768,0.5859375,0.99029541015625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
5,320,383,655360,503,0.383758544921875,504,0.384521484375,256,7.998596208542712,210,589,0.449371337890625,0.768280029296875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
6,384,447,786432,501,0.382232666015625,464,0.35400390625,256,7.9985274327415254,69,581,0.443267822265625,0.736236572265625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
7,448,511,917504,535,0.408172607421875,499,0.380706787109375,256,7.998672127119255,236,563,0.429534912109375,0.78887939453125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
8,512,575,1048576,524,0.3997802734375,504,0.384521484375,256,7.998535957653764,116,574,0.43792724609375,0.7843017578125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
9,576,639,1179648,541,0.412750244140625,552,0.421142578125,256,7.998694820829376,63,577,0.440216064453125,0.833892822265625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
10,640,703,1310720,539,0.411224365234375,496,0.37841796875,256,7.998506606232656,105,568,0.433349609375,0.789642333984375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
11,704,767,1441792,484,0.3692626953125,520,0.396728515625,256,7.998617189774764,132,575,0.438690185546875,0.7659912109375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
12,768,831,1572864,512,0.390625,522,0.39825439453125,256,7.998411978158174,201,582,0.44403076171875,0.78887939453125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
13,832,895,1703936,514,0.39215087890625,486,0.37078857421875,256,7.998588195104808,57,590,0.45013427734375,0.762939453125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
14,896,959,1835008,510,0.38909912109375,478,0.36468505859375,256,7.998536457626313,193,579,0.441741943359375,0.7537841796875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
15,960,1023,1966080,522,0.39825439453125,509,0.388336181640625,256,7.998704048873635,203,582,0.44403076171875,0.786590576171875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
16,1024,1087,2097152,525,0.400543212890625,461,0.351715087890625,256,7.9988955728226605,125,565,0.431060791015625,0.75225830078125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
17,1088,1151,2228224,507,0.386810302734375,532,0.4058837890625,256,7.998443408483709,78,592,0.45166015625,0.792694091796875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
18,1152,1215,2359296,491,0.374603271484375,505,0.385284423828125,256,7.9984150467357855,233,570,0.43487548828125,0.7598876953125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
19,1216,1279,2490368,517,0.394439697265625,500,0.3814697265625,256,7.998594084406241,59,569,0.434112548828125,0.775909423828125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
20,1280,1343,2621440,490,0.37384033203125,499,0.380706787109375,256,7.998496542239685,116,579,0.441741943359375,0.754547119140625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
21,1344,1407,2752512,529,0.403594970703125,488,0.372314453125,256,7.9985943421606365,151,571,0.435638427734375,0.775909423828125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
22,1408,1471,2883584,540,0.4119873046875,518,0.39520263671875,256,7.998421965124077,143,576,0.439453125,0.80718994140625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
23,1472,1535,3014656,504,0.384521484375,519,0.395965576171875,256,7.998593651173376,128,573,0.437164306640625,0.780487060546875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
